model,ngram,stop_words,n_comp,max_features,n_clusters,lemmatization,WSS,Silhouette Score
lsa,"(1, 2)",english,100,5000,5,False,137.8762,0.0226
lsa,"(1, 2)",english,100,5000,5,True,136.8741,0.0410
lsa,"(1, 2)",english,100,5000,9,False,131.3984,-0.0528
lsa,"(1, 2)",english,100,5000,9,True,130.9714,0.0284
lsa,"(1, 2)",english,100,5000,13,False,125.9388,0.0333
lsa,"(1, 2)",english,100,5000,13,True,125.2027,0.0309
lsa,"(1, 3)",None,50,1000,5,False,128.3753,0.0408
lsa,"(1, 3)",None,50,1000,5,True,130.7616,0.0478
lsa,"(1, 3)",None,50,1000,9,False,119.5097,0.0430
lsa,"(1, 3)",None,50,1000,9,True,121.2238,0.0650
lsa,"(1, 3)",None,50,1000,13,False,110.6346,0.0688
lsa,"(1, 3)",None,50,1000,13,True,111.2246,0.0809
lsa,"(1, 3)",None,50,5000,5,False,82.6263,0.0242
lsa,"(1, 3)",None,50,5000,5,True,82.8130,0.0321
lsa,"(1, 3)",None,50,5000,9,False,76.9699,0.0404
lsa,"(1, 3)",None,50,5000,9,True,76.5322,0.0353
lsa,"(1, 3)",None,50,5000,13,False,70.2682,0.0446
lsa,"(1, 3)",None,50,5000,13,True,70.0754,0.0775
lsa,"(1, 3)",None,100,1000,5,False,218.6223,0.0207
lsa,"(1, 3)",None,100,1000,5,True,221.2286,0.0175
lsa,"(1, 3)",None,100,1000,9,False,209.4794,0.0252
lsa,"(1, 3)",None,100,1000,9,True,210.9346,0.0291
lsa,"(1, 3)",None,100,1000,13,False,199.8916,0.0451
lsa,"(1, 3)",None,100,1000,13,True,200.3675,0.0431
lsa,"(1, 3)",None,100,5000,5,False,146.7325,0.0104
lsa,"(1, 3)",None,100,5000,5,True,146.8909,0.0951
lsa,"(1, 3)",None,100,5000,9,False,140.8844,0.0166
lsa,"(1, 3)",None,100,5000,9,True,140.2210,0.0350
lsa,"(1, 3)",None,100,5000,13,False,134.3188,0.0425
lsa,"(1, 3)",None,100,5000,13,True,134.1002,0.0424
lsa,"(1, 3)",english,50,1000,5,False,119.9228,0.0803
lsa,"(1, 3)",english,50,1000,5,True,122.1657,0.0797
